iter	RMSE	MAE
1780	7946.562468	4454.885067
1785	7946.522607	4454.8256
1790	7946.481371	4454.7632
1795	7946.442334	4454.702667
1800	7946.402473	4454.641333
1805	7946.364535	4454.5792
1810	7946.323024	4454.518933
1815	7946.283161	4454.457067
1820	7946.244399	4454.395733
1825	7946.204261	4454.334667
1830	7946.164673	4454.2728
1835	7946.12481	4454.211733
1840	7946.083847	4454.1504
1845	7946.045633	4454.0888
1850	7946.006045	4454.028
1855	7945.965906	4453.967467
1860	7945.925217	4453.9056
1865	7945.886178	4453.845067
1870	7945.846588	4453.7832
1875	7945.806999	4453.721867
1880	7945.767958	4453.661067
1885	7945.726719	4453.600267
1890	7945.687403	4453.5384
1895	7945.647538	4453.476267
1900	7945.608772	4453.415733
1905	7945.569181	4453.354933
1910	7945.528216	4453.293333
1915	7945.488349	4453.232
1920	7945.448758	4453.170667
1925	7945.409716	4453.109867
1930	7945.369849	4453.048267
1935	7945.330532	4452.988
1940	7945.28929	4452.926133
1945	7945.250248	4452.865067
1950	7945.21038	4452.803733
1955	7945.171062	4452.7416
1960	7945.130919	4452.6808
1965	7945.091876	4452.6192
1970	7945.050633	4452.557867
1975	7945.011039	4452.4976
1980	7944.97172	4452.436533
1985	7944.931851	4452.376267
1990	7944.893082	4452.314667
1995	7944.852937	4452.253333
2000	7944.813068	4452.191733
2005	7944.773473	4452.130667
2010	7944.732778	4452.069067
2015	7944.693458	4452.007733
2020	7944.655512	4451.945333
2025	7944.615367	4451.8848
2030	7944.573571	4451.824533
2035	7944.53425	4451.761867
2040	7944.494929	4451.7008
2045	7944.455332	4451.639733
2050	7944.416011	4451.578667
2055	7944.375864	4451.517867
2060	7944.336542	4451.456533
2065	7944.296395	4451.3952
2070	7944.257347	4451.334667
2075	7944.216925	4451.2736
2080	7944.177327	4451.212267
2085	7944.136629	4451.150933
2090	7944.098131	4451.089067
2095	7944.058257	4451.028267
2100	7944.018384	4450.966667
2105	7943.978235	4450.905867
2110	7943.938911	4450.844533
